127.0.0.1 - - [16/Apr/2022:23:41:16 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/ HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/visitante/navbar/css/navbar.css HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 200 38638
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/visitante/login/css/login.css HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/visitante/index.js HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/js/ajax.js HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:17 -0300] "GET /Biblioteca/resources/visitante/index.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/visitante/navbar/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/visitante/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/visitante/login/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/visitante/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/js/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/visitante/login/login.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/visitante/login/sincronizarDados.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/lalala.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:34 -0300] "GET /Biblioteca/resources/visitante/login/images/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:44 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminsPorNome/null HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:44 -0300] "POST /Biblioteca/rest/bibliotecaRest/logarAdmin/3 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:44 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [16/Apr/2022:23:41:44 -0300] "GET /Biblioteca/resources/admin/navbar/css/navbar.css HTTP/1.1" 304 -
