127.0.0.1 - - [23/Apr/2022:23:58:04 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/ HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/visitante/navbar/css/navbar.css HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 200 38638
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/visitante/index.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/visitante/login/css/login.css HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/visitante/index.js HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:08 -0300] "GET /Biblioteca/resources/js/ajax.js HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:09 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:09 -0300] "GET /Biblioteca/resources/visitante/login/login.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:09 -0300] "GET /Biblioteca/resources/visitante/login/sincronizarDados.js HTTP/1.1" 200 7711
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:09 -0300] "GET /Biblioteca/lalala.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:09 -0300] "GET /Biblioteca/resources/visitante/login/images/download.png HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminsPorNome/null HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "POST /Biblioteca/rest/bibliotecaRest/logarAdmin/3 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "GET /Biblioteca/resources/admin/canvasjs.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "GET /Biblioteca/resources/admin/navbar/css/navbar.css HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "GET /Biblioteca/resources/admin/relatorio/Chart.js HTTP/1.1" 200 444219
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "GET /Biblioteca/resources/admin/index.js HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "GET /Biblioteca/resources/admin/cruds.css HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:17 -0300] "GET /Biblioteca/resources/admin/index.css HTTP/1.1" 200 49698
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:18 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:18 -0300] "GET /Biblioteca/resources/admin/main/content.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:18 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:18 -0300] "GET /Biblioteca/resources/admin/main/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:18 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:18 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:19 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:19 -0300] "GET /Biblioteca/resources/admin/relatorio/content.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:20 -0300] "GET /Biblioteca/resources/admin/relatorio/relatorio.js HTTP/1.1" 200 9042
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:20 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:20 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:20 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarServicosDoMes/null/null HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "GET /Biblioteca/resources/admin/autor/content.jsp HTTP/1.1" 200 15277
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "GET /Biblioteca/resources/admin/autor/js/autor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.maskMoney.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.mask.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:58:25 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:08 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:08 -0300] "GET /Biblioteca/resources/admin/relatorio/content.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:08 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:08 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:08 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarServicosDoMes/null/null HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:09 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:09 -0300] "GET /Biblioteca/resources/admin/autor/content.jsp HTTP/1.1" 200 15277
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:09 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:09 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:09 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:09 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [23/Apr/2022:23:59:24 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
